#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.366193E+00   0.817234E+04   0.588036E+04   0.369200E+00   0.368603E+00   0.000000E+00   0.781192E+04   0.781192E+04   0.781193E+04  -0.185908E-01   0.776661E+04   0.746550E+04   0.149236E+01
   0.370720E+00   0.802563E+04   0.577735E+04   0.353804E+00   0.353231E+00   0.000000E+00   0.767208E+04   0.767208E+04   0.767209E+04  -0.182580E-01   0.762745E+04   0.733274E+04   0.144282E+01
   0.375246E+00   0.788462E+04   0.568363E+04   0.339334E+00   0.338785E+00   0.000000E+00   0.753852E+04   0.753852E+04   0.753852E+04  -0.179401E-01   0.749437E+04   0.720688E+04   0.139050E+01
   0.379773E+00   0.774852E+04   0.559592E+04   0.325679E+00   0.325152E+00   0.000000E+00   0.741002E+04   0.741002E+04   0.741003E+04  -0.176344E-01   0.736628E+04   0.708621E+04   0.133845E+01
   0.384300E+00   0.761641E+04   0.551074E+04   0.312728E+00   0.312222E+00   0.000000E+00   0.728530E+04   0.728530E+04   0.728530E+04  -0.173375E-01   0.724195E+04   0.696891E+04   0.128951E+01
   0.388826E+00   0.748752E+04   0.542521E+04   0.300391E+00   0.299905E+00   0.000000E+00   0.716322E+04   0.716322E+04   0.716323E+04  -0.170470E-01   0.712037E+04   0.685350E+04   0.124568E+01
   0.393353E+00   0.736129E+04   0.533757E+04   0.288602E+00   0.288135E+00   0.000000E+00   0.704306E+04   0.704306E+04   0.704307E+04  -0.167611E-01   0.700083E+04   0.673907E+04   0.120778E+01
   0.397880E+00   0.723741E+04   0.524739E+04   0.277320E+00   0.276871E+00   0.000000E+00   0.692448E+04   0.692448E+04   0.692448E+04  -0.164789E-01   0.688300E+04   0.662531E+04   0.117545E+01
   0.402406E+00   0.711580E+04   0.515541E+04   0.266525E+00   0.266094E+00   0.000000E+00   0.680753E+04   0.680753E+04   0.680754E+04  -0.162005E-01   0.676690E+04   0.651250E+04   0.114742E+01
   0.406933E+00   0.699667E+04   0.506323E+04   0.256214E+00   0.255799E+00   0.000000E+00   0.669264E+04   0.669264E+04   0.669264E+04  -0.159271E-01   0.665289E+04   0.640134E+04   0.112194E+01
   0.411459E+00   0.688036E+04   0.497282E+04   0.246389E+00   0.245990E+00   0.000000E+00   0.658040E+04   0.658040E+04   0.658040E+04  -0.156600E-01   0.654152E+04   0.629276E+04   0.109728E+01
   0.415986E+00   0.676719E+04   0.488592E+04   0.237049E+00   0.236666E+00   0.000000E+00   0.647135E+04   0.647135E+04   0.647136E+04  -0.154005E-01   0.643328E+04   0.618756E+04   0.107205E+01
   0.420513E+00   0.665733E+04   0.480363E+04   0.228185E+00   0.227816E+00   0.000000E+00   0.636583E+04   0.636583E+04   0.636584E+04  -0.151494E-01   0.632845E+04   0.608621E+04   0.104551E+01
   0.425039E+00   0.655083E+04   0.472630E+04   0.219776E+00   0.219420E+00   0.000000E+00   0.626392E+04   0.626392E+04   0.626392E+04  -0.149069E-01   0.622713E+04   0.598882E+04   0.101759E+01
   0.429566E+00   0.644760E+04   0.465357E+04   0.211793E+00   0.211450E+00   0.000000E+00   0.616549E+04   0.616549E+04   0.616549E+04  -0.146726E-01   0.612920E+04   0.589518E+04   0.988754E+00
   0.434093E+00   0.634745E+04   0.458454E+04   0.204203E+00   0.203872E+00   0.000000E+00   0.607023E+04   0.607023E+04   0.607024E+04  -0.144459E-01   0.603439E+04   0.580481E+04   0.959837E+00
   0.438619E+00   0.625004E+04   0.451797E+04   0.196968E+00   0.196649E+00   0.000000E+00   0.597767E+04   0.597767E+04   0.597767E+04  -0.142256E-01   0.594225E+04   0.571707E+04   0.931749E+00
   0.443146E+00   0.615498E+04   0.445262E+04   0.190054E+00   0.189746E+00   0.000000E+00   0.588728E+04   0.588728E+04   0.588729E+04  -0.140105E-01   0.585229E+04   0.563126E+04   0.905260E+00
   0.447672E+00   0.606197E+04   0.438758E+04   0.183431E+00   0.183135E+00   0.000000E+00   0.579867E+04   0.579867E+04   0.579867E+04  -0.137997E-01   0.576414E+04   0.554687E+04   0.880831E+00
   0.452199E+00   0.597084E+04   0.432241E+04   0.177080E+00   0.176793E+00   0.000000E+00   0.571162E+04   0.571162E+04   0.571162E+04  -0.135925E-01   0.567759E+04   0.546368E+04   0.858555E+00
   0.456726E+00   0.588151E+04   0.425713E+04   0.170985E+00   0.170709E+00   0.000000E+00   0.562607E+04   0.562607E+04   0.562608E+04  -0.133889E-01   0.559258E+04   0.538165E+04   0.838195E+00
   0.461252E+00   0.579398E+04   0.419213E+04   0.165139E+00   0.164872E+00   0.000000E+00   0.554208E+04   0.554208E+04   0.554209E+04  -0.131890E-01   0.550915E+04   0.530094E+04   0.819286E+00
   0.465779E+00   0.570829E+04   0.412798E+04   0.159536E+00   0.159278E+00   0.000000E+00   0.545978E+04   0.545978E+04   0.545978E+04  -0.129932E-01   0.542741E+04   0.522177E+04   0.801272E+00
   0.470306E+00   0.562452E+04   0.406533E+04   0.154170E+00   0.153921E+00   0.000000E+00   0.537933E+04   0.537933E+04   0.537934E+04  -0.128017E-01   0.534750E+04   0.514444E+04   0.783646E+00
   0.474832E+00   0.554275E+04   0.400469E+04   0.149036E+00   0.148795E+00   0.000000E+00   0.530089E+04   0.530089E+04   0.530089E+04  -0.126150E-01   0.526957E+04   0.506915E+04   0.766042E+00
   0.479359E+00   0.546301E+04   0.394635E+04   0.144127E+00   0.143894E+00   0.000000E+00   0.522452E+04   0.522452E+04   0.522452E+04  -0.124333E-01   0.519366E+04   0.499602E+04   0.748294E+00
   0.483885E+00   0.538529E+04   0.389032E+04   0.139432E+00   0.139207E+00   0.000000E+00   0.515021E+04   0.515021E+04   0.515021E+04  -0.122564E-01   0.511978E+04   0.492504E+04   0.730431E+00
   0.488412E+00   0.530951E+04   0.383640E+04   0.134939E+00   0.134721E+00   0.000000E+00   0.507786E+04   0.507786E+04   0.507786E+04  -0.120843E-01   0.504783E+04   0.485605E+04   0.712633E+00
   0.492939E+00   0.523555E+04   0.378418E+04   0.130634E+00   0.130423E+00   0.000000E+00   0.500732E+04   0.500732E+04   0.500732E+04  -0.119164E-01   0.497766E+04   0.478885E+04   0.695155E+00
   0.497465E+00   0.516327E+04   0.373322E+04   0.126504E+00   0.126300E+00   0.000000E+00   0.493839E+04   0.493839E+04   0.493839E+04  -0.117524E-01   0.490910E+04   0.472319E+04   0.678256E+00
   0.501992E+00   0.509252E+04   0.368313E+04   0.122537E+00   0.122339E+00   0.000000E+00   0.487090E+04   0.487090E+04   0.487090E+04  -0.115917E-01   0.484197E+04   0.465883E+04   0.662131E+00
