M200(Msun), Mstar_low(Msun, Mstar_high(Msun)
411731993.116168 128630.429982 297336.897614
425234633.452869 135095.879375 312172.010203
439180089.259608 141853.493575 327692.003550
453582882.551020 148987.902807 344039.378311
468458011.587305 156436.425531 361133.887147
483820966.492596 164309.069776 379146.368361
499687745.385489 172519.183592 397974.423001
516074871.038590 181206.523556 417820.083697
532999408.084410 190257.528829 438556.658512
550478980.785497 199842.578913 460420.280638
568531791.387375 209830.938841 483257.872559
587176639.073326 220396.290195 507342.564601
606432939.540805 231419.193130 532492.924498
626320745.219871 243065.182147 559021.888176
646860766.154632 255229.914440 586717.919317
668074391.569561 268067.160448 615936.377764
689983712.143003 281492.159404 646434.216790
712611543.011173 295642.620759 678611.517382
735981447.526579 310458.638038 712192.814537
760117761.795532 326056.777058 747624.720339
785045620.020451 342408.164218 784599.137082
810790980.673169 359602.232240 823610.321625
837380653.526647 377648.361371 864318.265222
864842327.573174 396601.816389 907265.026051
893204599.858096 416518.650178 952080.642337
922497005.259217 437411.720840 999353.849436
952750047.242730 459393.547970 1048688.296565
983995229.627821 482424.959122 1100716.592353
1016265089.392997 506686.312616 1155021.620108
1049593230.558227 532075.189220 1212274.888154
1084014359.178331 558852.967247 1272046.749203
1119564319.483879 586840.935232 1335039.869095
1156280131.207373 616396.746033 1400823.590478
1194200028.133535 647250.250621 1470120.496377
1233363497.913775 679873.005550 1542514.541432
1273811323.186478 713885.869742 1618732.601634
1315585624.045705 749894.651067 1698393.954574
1358729901.902706 787419.180386 1782208.688832
1403289084.785876 827138.132401 1869858.396193
1449309574.126215 868561.851205 1962008.546579
1496839293.077255 912350.069904 2058437.751735
1545927736.419478 958079.416455 2159730.721202
1596626022.101422 1006354.577707 2265807.230112
1648986944.471068 1056838.577530 2377124.900701
1703065029.252843 1110061.358634 2493800.318888
1758916590.327733 1165796.124608 2616105.258368
1816599788.375329 1224474.653349 2744422.740848
1876174691.439116 1286008.367613 2878764.802404
1937703337.477993 1350703.135286 3019867.459737
2001249798.969035 1418641.565622 3167390.773881
2066880249.629082 1489970.852997 3322530.778694
2134663033.324245 1564983.462216 3484481.129540
2204668735.239403 1643629.332713 3655029.568592
2276970255.381685 1726456.046226 3832762.137746
2351642884.494346 1813170.966414 4020219.654779
2428764382.460451 1904629.670529 4215207.104926
2508415059.277541 2000243.824557 4421215.378988
2590677858.688001 2101238.676316 4635384.951616
2675638444.552051 2206668.048139 4861410.337802
2763385290.053167 2318198.686751 5096720.709980
2854009769.829237 2434458.502090 5344499.279247
2947606255.124859 2557625.752319 5602987.047303
